읍면동,-1,위도,경도
청운효자동,24.96,37.584009,126.970626
사직동,23.3,37.575408,126.965944
삼청동,22.78,37.590758,126.980996
부암동,30.77,37.594768,126.965574
평창동,28.94,37.613029,126.974485
무악동,21.8,37.57711,126.958562
교남동,21.95,37.568547,126.964454
가회동,19.21,37.582682,126.984831
종로1.2.3.4가동,19.68,37.570962,126.977881
종로5.6가동,18.72,37.573681,127.009292
이화동,21.56,37.577245,127.005622
혜화동,20.73,37.587817,127.001745
창신제1동,-1,37.573172,126.97922
창신제2동,-1,37.573172,126.97922
창신제3동,-1,37.573172,126.97922
숭인제1동,-1,37.573172,126.97922
숭인제2동,-1,37.573172,126.97922
소공동,20.16,37.564079,126.980046
회현동,22.39,37.557288,126.979369
명동,19.79,37.560029,126.985806
필동,21.29,37.560148,126.995572
장충동,24.43,37.561919,127.007818
광희동,20.29,37.564445,127.005023
을지로동,21.12,37.56669,126.991319
신당동,25.76,37.557913,127.013655
다산동,29.29,37.554398,127.008155
약수동,21.45,37.552459,127.008973
청구동,19.52,37.557074,127.014616
신당제5동,-1,37.56376,126.997459
동화동,21.41,37.560042,127.019399
황학동,18.87,37.568542,127.020827
중림동,20.8,37.558842,126.96632
후암동,26.23,37.549901,126.980613
용산2가동,27.58,37.542884,126.985008
남영동,19.55,37.542865,126.973353
청파동,24.32,37.545502,126.969899
원효로제1동,-1,37.532612,126.990182
원효로제2동,-1,37.532612,126.990182
효창동,22.44,37.542828,126.960951
용문동,26.72,37.537663,126.959677
한강로동,22.75,37.529054,126.969503
이촌제1동,-1,37.532612,126.990182
이촌제2동,-1,37.532612,126.990182
이태원제1동,-1,37.532612,126.990182
이태원제2동,-1,37.532612,126.990182
한남동,28.76,37.537541,127.005165
서빙고동,30.51,37.518619,126.991299
보광동,24.76,37.526873,127.000917
왕십리제2동,-1,37.563386,127.037047
왕십리도선동,19.36,37.56598,127.031444
마장동,26.49,37.567363,127.040731
사근동,27.98,37.558904,127.047597
행당제1동,-1,37.563386,127.037047
행당제2동,-1,37.563386,127.037047
응봉동,25.36,37.550935,127.033903
금호1가동,20.83,37.553509,127.023661
금호2.3가동,17.22,37.549549,127.019842
금호4가동,25.49,37.545404,127.024129
옥수동,22.66,37.540788,127.020624
성수1가제1동,-1,37.543511,127.042746
성수1가제2동,-1,37.543511,127.042746
성수2가제1동,-1,37.540855,127.056517
성수2가제3동,-1,37.540855,127.056517
송정동,25.99,37.553181,127.062066
용답동,28.04,37.56147,127.056348
화양동,18.92,37.54325,127.073393
군자동,37.02,37.553038,127.073657
중곡제1동,-1,37.53821,127.082191
중곡제2동,-1,37.53821,127.082191
중곡제3동,-1,37.53821,127.082191
중곡제4동,-1,37.53821,127.082191
능동,20.39,37.550578,127.081722
광장동,26.23,37.547835,127.104695
자양제1동,-1,37.53821,127.082191
자양제2동,-1,37.53821,127.082191
자양제3동,-1,37.53821,127.082191
자양제4동,-1,37.53821,127.082191
구의제1동,-1,37.53821,127.082191
구의제2동,-1,37.53821,127.082191
구의제3동,-1,37.53821,127.082191
용신동,22.69,37.575868,127.037305
제기동,26.65,37.583778,127.037226
전농제1동,-1,37.574428,127.039712
전농제2동,-1,37.574428,127.039712
답십리제1동,-1,37.57097,127.056703
답십리제2동,-1,37.57097,127.056703
장안제1동,-1,37.574428,127.039712
장안제2동,-1,37.574428,127.039712
청량리동,22.57,37.588799,127.04528
회기동,19.02,37.593733,127.051434
휘경제1동,-1,37.574428,127.039712
휘경제2동,-1,37.574428,127.039712
이문제1동,-1,37.574428,127.039712
이문제2동,-1,37.574428,127.039712
면목제2동,-1,37.606736,127.092924
면목제4동,-1,37.606736,127.092924
면목제5동,-1,37.606736,127.092924
면목본동,19.45,37.587331,127.087419
면목제7동,-1,37.606736,127.092924
면목제3.8동,-1,37.582921,127.088107
상봉제1동,-1,37.606736,127.092924
상봉제2동,-1,37.606736,127.092924
중화제1동,-1,37.606736,127.092924
중화제2동,-1,37.606736,127.092924
묵제1동,-1,37.606736,127.092924
묵제2동,-1,37.606736,127.092924
망우본동,21.81,37.601504,127.106215
망우제3동,-1,37.606736,127.092924
신내1동,27.45,37.605867,127.099356
신내2동,19.14,37.606188,127.094222
성북동,23.57,37.597248,126.992899
삼선동,18.47,37.590836,127.01467
동선동,19.17,37.593984,127.020426
돈암제1동,-1,37.58944,127.016817
돈암제2동,-1,37.58944,127.016817
안암동,21.13,37.585892,127.021381
보문동,22.44,37.58038,127.022857
정릉제1동,-1,37.58944,127.016817
정릉제2동,-1,37.58944,127.016817
정릉제3동,-1,37.58944,127.016817
정릉제4동,-1,37.58944,127.016817
길음제1동,-1,37.58944,127.016817
길음제2동,-1,37.58944,127.016817
종암동,23.08,37.597176,127.033894
월곡제1동,-1,37.58944,127.016817
월곡제2동,-1,37.58944,127.016817
장위제1동,-1,37.58944,127.016817
장위제2동,-1,37.58944,127.016817
장위제3동,-1,37.58944,127.016817
석관동,24.38,37.608265,127.061465
삼양동,25.17,37.627368,127.0183
미아동,22.46,37.621106,127.023865
송중동,20.83,37.616062,127.033819
송천동,19.72,37.618268,127.023845
삼각산동,18.27,37.616702,127.017511
번1동,20.06,37.637825,127.028802
번2동,18.87,37.632572,127.038693
번3동,21.85,37.625852,127.046619
수유1동,19.63,37.630309,127.017684
수유2동,21.28,37.644753,127.019941
수유3동,19.31,37.638832,127.023089
우이동,24.5,37.663286,127.000508
인수동,19.4,37.641485,127.010591
창제1동,-1,37.668639,127.047364
창제2동,-1,37.668639,127.047364
창제3동,-1,37.668639,127.047364
창제4동,-1,37.668639,127.047364
창제5동,-1,37.668639,127.047364
도봉제1동,-1,37.668639,127.047364
도봉제2동,-1,37.668639,127.047364
쌍문제1동,-1,37.668639,127.047364
쌍문제2동,-1,37.668639,127.047364
쌍문제3동,-1,37.668639,127.047364
쌍문제4동,-1,37.668639,127.047364
방학제1동,-1,37.668639,127.047364
방학제2동,-1,37.668639,127.047364
방학제3동,-1,37.668639,127.047364
월계1동,20.33,37.619919,127.062984
월계2동,22.64,37.63251,127.051031
월계3동,27.23,37.620949,127.069054
공릉1동,22.78,37.624843,127.07382
공릉2동,23.13,37.621268,127.083357
하계1동,21.09,37.640485,127.072685
하계2동,24.53,37.632123,127.068053
중계본동,17.83,37.647853,127.080401
중계1동,17.99,37.652551,127.077488
중계4동,20.76,37.658763,127.077989
중계2.3동,20.68,37.64204,127.068711
상계1동,26.09,37.679855,127.05502
상계2동,19.32,37.65886,127.068479
상계3.4동,24.21,37.672624,127.08302
상계5동,18.67,37.662994,127.06947
상계6.7동,22.71,37.654919,127.066919
상계8동,26.08,37.666726,127.051548
상계9동,20.32,37.66449,127.063818
상계10동,22.89,37.661245,127.060243
녹번동,20.64,37.605314,126.934567
불광제1동,-1,37.602766,126.928839
불광제2동,-1,37.602766,126.928839
갈현제1동,-1,37.602766,126.928839
갈현제2동,-1,37.602766,126.928839
구산동,18.18,37.611074,126.907302
대조동,19.94,37.612256,126.923141
응암제1동,-1,37.602766,126.928839
응암제2동,-1,37.602766,126.928839
응암제3동,-1,37.602766,126.928839
역촌동,22.96,37.604582,126.914611
신사제1동,-1,37.602766,126.928839
신사제2동,-1,37.602766,126.928839
증산동,23.06,37.584166,126.905952
수색동,23.61,37.585574,126.894529
진관동,22.64,37.639681,126.937804
천연동,20.51,37.567945,126.959437
북아현동,18.79,37.562431,126.954397
충현동,23.05,37.56483,126.954715
신촌동,25.38,37.56555,126.941382
연희동,25.54,37.571987,126.932812
홍제제1동,-1,37.579213,126.936773
홍제제3동,-1,37.579213,126.936773
홍제제2동,-1,37.579213,126.936773
홍은제1동,-1,37.579213,126.936773
홍은제2동,-1,37.579213,126.936773
남가좌제1동,-1,37.579213,126.936773
남가좌제2동,-1,37.579213,126.936773
북가좌제1동,-1,37.579213,126.936773
북가좌제2동,-1,37.579213,126.936773
아현동,20.67,37.554474,126.956308
공덕동,19.6,37.548092,126.954994
도화동,19.68,37.539758,126.950007
용강동,25.22,37.541502,126.940443
대흥동,21.24,37.549807,126.943177
염리동,18.45,37.549096,126.947307
신수동,23.17,37.548524,126.936813
서강동,23.2,37.54778,126.932218
서교동,20.22,37.553838,126.918765
합정동,28.8,37.547027,126.909029
망원제1동,-1,37.566404,126.901763
